Stock,Stock Name
BATS.L,British American Tobacco p.l.c.
HM-B.ST,H & M Hennes & Mauritz AB (publ)
ITX.MC,Inditex
FLOW.AS,Flow Traders
HEIA.AS,HEINEKEN NV
RIO,Rio Tinto Group
ROG.SW,Roche Holding AG
ASML.AS,ASML Holding
ASRNL.AS,ASR NL
NN.AS,NN
ORA.PA,Orange
PAH3.DE,Porche
PHIA.AS,Philips
YAR.OL,Yara International ASA
TUI1.DE,Tui
TTE.PA,Total
TEF.MC,Telefonica
SAN.PA,Sanofi
DIS,Disney
SIE.DE,Siemens
SHL.DE,Siemens Health
ENEL.MI,Enel spa
AD.AS,Ahold
G.MI,Assicurazioni General
BION.SW,Biotech
JDEP.AS,Douwe Eg
